Meses;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Janeiro;1.290.551;2.081.777;1.565.296;1.624.324;2.161.977;2.074.738;1.159.936;2.234.934;1.568.998;1.716.203;1.270.622;1.023.328;1.502.685;1.698.150;1.571.409;346.853;817.939;397.565;928.043
Fevereiro;1.837.306;1.618.981;1.803.683;1.744.122;1.429.719;2.354.547;1.593.435;1.673.134;1.780.871;1.917.351;1.769.524;1.861.390;962.405;1.520.363;2.177.695;1.959.466;1.434.967;979.392;905.374
Mar‡o;2.119.428;1.827.977;1.748.130;1.495.445;2.095.855;1.766.656;2.228.251;2.501.854;1.812.964;1.748.340;1.770.272;1.867.903;1.369.699;1.696.639;1.103.638;1.379.518;1.126.892;217.102;1.065.878
Abril;1.717.434;1.419.867;2.143.573;2.031.223;2.737.462;1.253.909;1.713.594;1.770.477;1.637.138;1.771.244;1.904.783;2.164.833;2.020.591;1.828.552;1.791.903;933.809;727.264;599.975;346.634
Maio;2.159.317;1.644.812;2.427.339;955.600;3.050.294;2.484.860;1.988.829;1.970.137;2.467.915;2.159.849;1.579.962;1.828.406;1.551.756;2.380.843;1.505.718;1.095.513;987.187;848.567;758.315
Junho;2.483.589;2.671.941;1.267.710;1.520.771;2.491.230;1.282.508;1.669.938;1.626.776;2.692.027;2.022.056;1.822.318;1.683.584;2.265.192;1.393.646;1.942.532;1.852.746;1.232.932;927.099;826.599
Julho;1.939.384;1.884.416;1.751.512;1.399.149;2.545.174;1.792.688;1.484.157;2.694.782;2.317.087;2.102.731;2.361.315;1.026.035;1.869.553;4.502.093;2.643.681;1.314.885;650.666;1.079.258;
Agosto;2.753.272;2.583.801;1.298.685;1.694.619;2.320.349;2.227.634;2.623.889;1.737.637;2.367.298;1.429.011;1.074.403;1.416.876;679.917;992.555;1.577.758;1.256.353;566.044;644.490;
Setembro;2.140.167;1.830.965;2.062.287;2.085.511;1.866.061;1.283.665;1.369.143;2.154.153;1.734.152;2.446.901;1.768.556;1.441.261;1.437.659;1.207.536;2.838.400;1.506.401;746.324;533.816;
Outubro;1.699.984;2.656.514;1.995.041;2.377.848;2.180.678;1.535.076;1.797.609;2.811.275;2.117.620;1.901.707;1.299.304;1.931.387;567.240;3.060.027;1.482.235;3.242.332;772.189;917.300;
Novembro;1.474.148;1.893.802;1.916.069;1.998.672;1.849.599;1.850.648;2.405.520;2.227.857;1.201.808;1.674.081;1.632.526;1.775.224;2.193.488;1.373.961;2.069.970;2.092.115;816.826;863.963;
Dezembro;1.486.359;2.080.113;2.076.271;1.031.196;2.184.205;2.067.212;873.816;1.976.647;2.024.250;1.927.286;1.404.941;1.260.592;1.696.042;1.850.062;2.213.380;1.825.972;483.384;652.333;
Total do Ano;23.100.937;24.194.967;22.055.597;19.958.480;26.912.603;21.974.140;20.908.120;25.379.663;23.722.129;22.816.759;19.658.526;19.280.820;18.116.226;23.504.427;22.918.320;18.805.964;10.362.614;8.660.862;4.830.842
